parcel_id,pnu,jibun,land_use_code,ownership_type,area,lng,lat,dist_to_childcare_center,dist_to_nosmoking_zone,dist_to_overpass,dist_to_school,dist_to_tunnel,complaint_count,building_use,target_label
303116,1117000000000002273,원효로1가 27-108도,도,국유지,19.848366664722562,126.96517106037396,37.5397665817478,37.03822816,224.40326738,594.2102102,322.64281257,2067.60446536,133,미지정,1
303117,1117000000000002274,원효로1가 22-7도,도,국유지,42.404144294094294,126.96466130457246,37.539528541599196,87.8948109,173.13620146,599.22905552,295.17082698,2116.45324984,133,미지정,1
303118,1117000000000002275,원효로1가 19-20도,도,국유지,39.490817743353546,126.96498173546945,37.53968067892035,55.55038553,205.48842971,595.7718364,311.57667134,2085.51127741,133,미지정,1
303120,1117000000000002277,원효로1가 22-47 도,도,국유지,13.266665656119585,126.96468081047442,37.539294744300676,99.12159119,158.01695198,578.00967569,311.13193912,2135.5636089,133,미지정,1
303121,1117000000000002278,원효로1가 26-61도,도,국유지,72.57177297631279,126.96482229519495,37.539418093509944,81.01458462,176.19556731,580.79555615,313.75031679,2117.06213522,133,미지정,1
303122,1117000000000002279,원효로1가 27-112도,도,국유지,40.41290886467323,126.96503146274273,37.539621843446604,53.74468933,204.67027149,587.90272311,318.45955988,2087.85582085,133,미지정,1
303123,1117000000000002280,원효로1가 21-7도,도,국유지,13.193065317929722,126.96487008116479,37.53959226406444,68.13804172,191.6054371,593.6119022,307.45092768,2099.34356719,133,미지정,1
303124,1117000000000002281,원효로1가 28-6도,도,국유지,117.1489920578897,126.96721446628429,37.53921838238577,155.24565716,214.90507722,459.2274274,285.60979675,2009.99253562,133,미지정,1
303125,1117000000000002282,원효로1가 27-15 도,도,국유지,113.24042018945329,126.96621716193856,37.53901551660964,78.23503526,271.21619831,474.75643166,391.35986604,2078.71053969,133,미지정,1
303126,1117000000000002283,원효로1가 27-118 도,도,국유지,33.40467366203666,126.966234879215,37.53898968536191,76.51938707,272.11546412,471.490219,389.15013243,2080.16082317,133,미지정,1
303127,1117000000000002284,원효로1가 27-119 도,도,국유지,41.50194115564227,126.96630635590485,37.53910112747183,90.38394514,278.90184581,479.25943369,402.9052786,2066.40558425,133,미지정,1
303128,1117000000000002285,원효로1가 27-85도,도,국유지,56.62274451274425,126.96675898729609,37.5389330218565,104.08307758,234.78261029,444.67956593,319.60811122,2058.82266733,133,미지정,1
303129,1117000000000002286,원효로1가 30-87 도,도,국유지,23.070791555102915,126.96636701969953,37.53919535863095,102.12227461,278.37749084,486.03250274,414.54969085,2054.76330562,133,미지정,1
303130,1117000000000002287,원효로1가 30-85 도,도,국유지,12.506497813388705,126.96635794836601,37.539239765359476,94.29741758,281.2735247,490.78762394,418.93612332,2051.20285993,133,미지정,1
303131,1117000000000002288,원효로1가 30-45도,도,국유지,42.28657012199983,126.96622558895847,37.53933955052964,78.1886455,282.19205196,505.98768497,425.81624077,2048.99356784,133,미지정,1
303132,1117000000000002289,원효로1가 29-9도,도,국유지,19.06377949938178,126.96633771906353,37.53931098044764,87.67677574,286.48245714,498.64850376,425.83841041,2045.79700516,133,미지정,1
303133,1117000000000002290,원효로1가 29-59 도,도,국유지,38.47089197486639,126.96643222862484,37.5393338417474,92.66772306,280.35301391,497.23774778,355.81840238,2038.8882065,133,미지정,1
303134,1117000000000002291,원효로1가 22-28도,도,국유지,13.384332614485174,126.96449277207769,37.53954227812385,101.38158375,163.65722142,631.17654379,281.82008691,2124.71003983,133,미지정,1
303135,1117000000000002292,원효로1가 22-63 도,도,국유지,44.306984525872394,126.96426067969153,37.53973855250535,105.27715019,168.20822835,603.572561,252.7926916,2121.14560084,133,미지정,1
303136,1117000000000002293,원효로1가 27-99도,도,국유지,976.6322341277264,126.96595643127158,37.538942063170104,62.20843072,246.94536615,479.66262648,376.76963881,2098.70266244,133,미지정,1
303137,1117000000000002294,원효로1가 27-107 도,도,국유지,16.390910839661956,126.96609754727704,37.53888299162179,60.29957072,257.88530293,467.48490143,374.08406075,2096.82286483,133,미지정,1
303138,1117000000000002295,원효로1가 5-16도,도,국유지,154.3156826289487,126.96889098070875,37.541338336945806,45.33197223,127.63947919,196.18281792,330.3987738,1732.09959077,133,미지정,1
