parcel_id,pnu,jibun,land_use_code,ownership_type,area,lng,lat,dist_to_nosmoking_zone,dist_to_school,dist_to_childcare_center,complaint_count,building_use,target_label
390644,1117000000000004989,한남동 11-352도,도,국유지,78.57523554097861,127.01304125131085,37.53439485181023,53.83908815,847.00140047,534.19338251,180,미지정,0
390645,1117000000000004990,한남동 11-292도,도,국유지,48.92056950274855,127.01340276201451,37.53444738058952,84.56875494,868.48748381,565.11058717,180,미지정,0
390646,1117000000000004991,한남동 758-21도,도,국유지,242.70212348201312,127.00047997569433,37.53223688896746,376.384975,370.2480705,254.84536982,180,미지정,0
390647,1117000000000004992,한남동 762-1도,도,국유지,319.35240586998407,127.0011082666953,37.53213216410679,341.76193623,426.71924844,272.33364665,180,미지정,0
390648,1117000000000004993,한남동 764-22도,도,국유지,1290.1215051634936,127.00178902796077,37.53192906400582,319.720452,489.34130331,311.56513463,180,미지정,1
390649,1117000000000004994,한남동 766-18 도,도,국유지,227.02597046876326,127.00196161358934,37.532209730582196,285.5335838,500.9356058,289.5187285,180,미지정,1
390650,1117000000000004995,한남동 723-39도,도,국유지,940.0393082627561,127.00594126071181,37.53780893791599,320.0065499,157.68156451,319.88820457,180,미지정,1
390651,1117000000000004996,한남동 763-7 도,도,국유지,1794.57809994719,126.99981138342407,37.532109482452796,461.84437632,313.55448349,275.25316758,180,미지정,0
390652,1117000000000004997,한남동 758-48 도,도,국유지,29.169825281598605,127.00023842648953,37.53209757502382,466.83705494,351.03118601,271.09513767,180,미지정,0
390653,1117000000000004998,한남동 767-16도,도,국유지,149.82298835011898,127.0021565472472,37.531654165275256,328.84566485,526.57600444,234.79174593,180,미지정,0
390654,1117000000000004999,한남동 765-22 도,도,국유지,449.58264311228413,127.00174750516416,37.53153863864951,357.89501956,494.00048205,271.35382074,180,미지정,0
390655,1117000000000005000,한남동 766-26 도,도,국유지,16.054011411964893,127.00229138466239,37.53186859303392,302.23350482,534.24777848,223.90360822,180,미지정,0
390656,1117000000000005001,한남동 686-33도,도,국유지,43.96246270235861,126.999495745063,37.53334977946371,323.43617771,294.0640506,157.14742365,180,미지정,0
390657,1117000000000005002,한남동 726-515 도,도,국유지,196.6089538745582,126.9997422275044,37.549756901578824,693.11074479,976.71633679,610.62310852,180,미지정,0
390658,1117000000000005003,한남동 769-16도,도,국유지,330.2648589372402,127.00253018742455,37.53124115909722,357.78234654,569.2017232,207.40456875,180,미지정,0
390659,1117000000000005004,한남동 769-19도,도,국유지,45.420583550818264,127.00238598970482,37.53100663902088,386.58423831,564.40028453,226.94108252,180,미지정,0
390660,1117000000000005005,한남동 722-32 도,도,국유지,533.7770575676113,127.00483946797512,37.53778493380622,285.08510001,171.11200893,359.71320969,180,미지정,1
390661,1117000000000005006,한남동 722-5 도,도,국유지,1896.0631079149898,127.00454881617513,37.537786497143806,259.42170663,182.5691321,374.46678371,180,미지정,0
390662,1117000000000005007,한남동 726-459도,도,국유지,3379.038071118528,127.00572238538165,37.53811064800509,357.91195933,121.75241609,357.79703175,180,미지정,1
390663,1117000000000005008,한남동 742-29도,도,국유지,195.43192413588986,126.99862212604039,37.53838207046953,247.92198473,368.1465702,117.82475259,180,미지정,0
390664,1117000000000005009,한남동 683-96 도,도,국유지,31.169587287586182,127.00046879160764,37.53568249577759,106.30965577,503.62591146,127.57580653,180,미지정,0
390665,1117000000000005010,한남동 726-460도,도,국유지,595.9130870960653,127.00593630551761,37.53845900438676,389.40022255,87.8347001,389.27367681,180,미지정,1
390666,1117000000000005011,한남동 733-26도,도,국유지,72.56301580369473,126.99534226029061,37.538304090435965,417.52005356,641.29091792,330.64934071,180,미지정,0
390667,1117000000000005012,한남동 807-1 도,도,국유지,81.28832775726914,127.00329998491432,37.528926504224,425.3319954,738.67570955,332.99818341,180,미지정,0
390668,1117000000000005013,한남동 684-23도,도,국유지,233.5346065479098,127.00075940401274,37.53544748348527,142.64707798,505.84020424,104.61827337,180,미지정,0
390669,1117000000000005014,한남동 742-30도,도,국유지,377.20536913955584,126.99949655996915,37.538242017912935,153.99489316,341.36830056,88.08958613,180,미지정,1
390670,1117000000000005015,한남동 666-18 도,도,국유지,10.535620500799268,127.000903,37.53384499999999,295.24733261,429.37296783,85.33029986,180,미지정,0
390671,1117000000000005016,한남동 726-110 도,도,국유지,235.41793097835034,127.00441759954859,37.53872639300002,271.18683527,117.02517126,468.35298318,180,미지정,0
390672,1117000000000005017,한남동 661-3도,도,국유지,32.401551771909,127.0017301171662,37.533683424159854,201.08757178,494.26834471,145.78469803,180,미지정,0
