parcel_id,pnu,jibun,land_use_code,ownership_type,area,lng,lat,dist_to_school,dist_to_nosmoking_zone,dist_to_childcare_center,dist_to_tunnel,dist_to_overpass,complaint_count,building_use,target_label
389132,1117000000000003477,한강로1가 32-15 도,도,국유지,21.923630786128342,126.973643,37.53749333333333,229.90096025,29.78223494,255.88609983,1505.42902057,275.85692664,326,미지정,1
389133,1117000000000003478,한강로1가 30-9 도,도,국유지,137.99708406813443,126.97359046624727,37.53709691687991,188.5619019,14.900748,222.46777848,1533.16659323,256.78231705,326,미지정,1
389134,1117000000000003479,한강로1가 32-19 도,도,국유지,48.77652391139418,126.9735421804927,37.53729281598793,205.96540529,11.52958758,233.7950596,1524.88085249,271.07068667,326,미지정,0
389135,1117000000000003480,한강로1가 32-17 도,도,국유지,36.490383929573,126.97351966523297,37.5373873297491,214.70295671,20.96656664,239.84908495,1520.92426436,278.27479429,326,미지정,1
389136,1117000000000003481,한강로1가 32-16 도,도,국유지,52.04779820237309,126.97350709636889,37.537470838296265,222.80874443,29.7410612,245.89306252,1516.93319376,284.28438066,326,미지정,0
389137,1117000000000003482,한강로1가 60-4 도,도,국유지,262.9678839459084,126.97296493160006,37.536911516120796,148.65166067,69.1437273,167.79898113,1590.69352725,299.74164824,326,미지정,0
389138,1117000000000003483,한강로1가 26-5 도,도,국유지,332.40984726231545,126.97285519115205,37.53683385467109,138.10033562,81.9029643,154.8643548,1603.52252247,306.3477884,326,미지정,1
389139,1117000000000003484,한강로1가 224-2도,도,국유지,60.095930892042816,126.97288847562304,37.53176081986615,428.63490671,186.02018263,283.18048652,1965.93855005,349.4761085,326,미지정,0
389140,1117000000000003485,한강로1가 221-1도,도,국유지,60.80236321128905,126.97318087124881,37.53162629649349,446.01631944,210.35152292,307.86664399,1959.43764367,379.2144401,326,미지정,0
389141,1117000000000003486,한강로1가 216-4도,도,국유지,579.772840327525,126.97389798154008,37.53257956556009,357.16139669,198.17481591,264.75114586,1838.62848862,429.45028879,326,미지정,0
389142,1117000000000003487,한강로1가 215-1도,도,국유지,22.282976980437525,126.97372434529315,37.53317415422996,289.92647964,131.90446077,215.11528176,1801.62937526,380.99801563,326,미지정,0
389143,1117000000000003488,한강로1가 138도,도,국유지,7819.430574724218,126.97368489674925,37.5332031875573,285.67762677,127.43618835,210.52350786,1801.79828758,380.36361383,326,미지정,0
389144,1117000000000003489,한강로1가 215-2도,도,국유지,28.99282187409699,126.97373761574465,37.53315405436193,292.42945988,134.42485061,217.2072763,1802.39133592,382.1704849,326,미지정,0
389145,1117000000000003490,한강로1가 187-5도,도,국유지,119.47851227270439,126.9744174829837,37.5330455275805,329.32541213,176.66493839,276.34308713,1769.48886727,362.59632361,326,미지정,0
389146,1117000000000003491,한강로1가 80-8 도,도,국유지,60.479578140191734,126.97197587981509,37.53643702911362,104.57366581,162.47653583,74.02771377,1692.69261597,301.86235338,326,미지정,1
389147,1117000000000003492,한강로1가 80-15 도,도,국유지,28.383404635824263,126.97205007326767,37.536449781925,102.82625231,158.32601718,78.10178503,1686.41791493,308.37267132,326,미지정,0
389148,1117000000000003493,한강로1가 77-3도,도,국유지,1663.6953760921024,126.97170418338467,37.536375994087166,112.95705807,178.15423664,61.49180229,1716.55545877,277.37191181,326,미지정,1
389149,1117000000000003494,한강로1가 306-2 도,도,국유지,139.60734543058788,126.9714256912474,37.53622395932874,120.31769663,149.63076651,48.49262768,1746.38312451,247.79120588,326,미지정,0
389150,1117000000000003495,한강로1가 80-13 도,도,국유지,39.77695416752249,126.9719258327168,37.53648831812576,111.70345336,169.49501512,77.77573152,1693.33526582,300.49452962,326,미지정,1
389151,1117000000000003496,한강로1가 80-14 도,도,국유지,19.383310113102198,126.97199461403511,37.536467105263156,106.73134091,163.30965954,77.74834794,1689.49177595,304.83379089,326,미지정,1
389152,1117000000000003497,한강로1가 50-6도,도,국유지,1216.9886100199074,126.97226412629955,37.53620018543326,69.87050645,126.24588729,68.75350629,1685.9353566,336.44618929,326,미지정,1
389153,1117000000000003498,한강로1가 306-1 도,도,국유지,77.10166038293391,126.97160165250214,37.536266003350285,110.81481319,163.37694408,49.22796291,1730.77629398,263.81160299,326,미지정,0
389154,1117000000000003499,한강로1가 30-1도,도,국유지,192.62449919432402,126.9738782201287,37.53724177246185,215.4757094,21.04835501,252.35057168,1503.08505778,242.89237556,326,미지정,0
389155,1117000000000003500,한강로1가 77-7 도,도,국유지,469.18462951120455,126.97156993525745,37.5367297211542,151.20171408,156.26294671,100.76294758,1705.84840884,286.60596391,326,미지정,1
389156,1117000000000003501,한강로1가 1-8도,도,국유지,302.40281227696687,126.97390023356095,37.53776231546026,266.66503549,63.88517592,293.21214891,1470.35366744,277.42098552,326,미지정,0
389157,1117000000000003502,한강로1가 2-2도,도,국유지,37.01013338100165,126.97376922926053,37.53768702182171,254.09801181,52.51618261,279.22808718,1484.5949896,280.40411614,326,미지정,0
389158,1117000000000003503,한강로1가 24-7 도,도,국유지,49.802943002665415,126.97505098276542,37.53523195384414,225.01242499,41.23102865,295.20140756,1558.74251946,130.88749391,326,미지정,1
389159,1117000000000003504,한강로1가 26-9 도,도,국유지,135.4811541615054,126.97391197685504,37.53695859314097,191.74603669,38.05040999,236.56452543,1518.18613658,224.49264174,326,미지정,1
389160,1117000000000003505,한강로1가 42 도,도,국유지,5655.403883078834,126.97420915991131,37.53644683715272,173.33154754,25.40743764,236.83847202,1529.97974431,179.50846949,326,미지정,0
389161,1117000000000003506,한강로1가 26-1도,도,국유지,3101.9803873539786,126.9729738948638,37.537201821547896,180.21684426,59.01587621,192.76617238,1572.71960108,310.915516,326,미지정,0
389162,1117000000000003507,한강로1가 17-3 도,도,국유지,1140.0640499901492,126.97482454507747,37.535472886842975,201.58375696,8.07514934,283.60117721,1555.81721684,133.05045435,326,미지정,1
389163,1117000000000003508,한강로1가 94-3 도,도,국유지,261.8085549864918,126.9736654212081,37.536017848898126,108.27307609,13.26719461,179.75874294,1597.01408427,221.80278668,326,미지정,1
389164,1117000000000003509,한강로1가 80-11 도,도,국유지,138.63652169238776,126.97349862856434,37.53602395905563,95.37649757,21.22732389,165.22240681,1608.37932052,236.53754386,326,미지정,1
389165,1117000000000003510,한강로1가 27-2 도,도,국유지,435.38897242804524,126.97377244021509,37.53725231590648,211.53606571,12.00597388,245.86434739,1510.25065848,251.38223584,326,미지정,0
389166,1117000000000003511,한강로1가 50-4 도,도,국유지,1129.3839876535349,126.97278334432352,37.536135691869404,61.50548333,87.8217332,106.29564206,1652.23835414,299.93845698,326,미지정,1
389167,1117000000000003512,한강로1가 77-5 도,도,국유지,211.11915698926896,126.97220879898559,37.53736927702018,197.20392745,127.58883267,178.58219123,1621.0364031,373.99444087,326,미지정,1
389168,1117000000000003513,한강로1가 79-5 도,도,국유지,57.28153231710894,126.97147312150017,37.53681262014443,163.65490968,148.77688276,110.79907084,1708.42712694,284.86214982,326,미지정,1
389169,1117000000000003514,한강로1가 293-1도,도,국유지,919.3811160231126,126.97216161083132,37.53415766764297,165.19018152,53.92896095,52.04796873,1829.59929388,229.44397526,326,미지정,1
389170,1117000000000003515,한강로1가 294-1 도,도,국유지,356.6070424951613,126.97218634384157,37.533886554097606,194.34821087,55.25733248,58.21191652,1847.34641316,232.17001874,326,미지정,1
389171,1117000000000003516,한강로1가 299-1도,도,국유지,15.729895257099997,126.97185472830266,37.53370605217752,220.4500331,21.57702117,49.03600837,1882.64408589,205.84108481,326,미지정,1
389172,1117000000000003517,한강로1가 300-2도,도,국유지,29.919673390686512,126.97180706251366,37.53364316153006,228.33798887,13.48260515,53.47599488,1890.38038676,203.18096615,326,미지정,1
389173,1117000000000003518,한강로1가 293-4도,도,국유지,354.3032641876489,126.97171383400014,37.53360693859395,234.65635841,8.99463256,54.86172889,1899.25741238,196.15747706,326,미지정,1
389174,1117000000000003519,한강로1가 303-1도,도,국유지,391.5126926153898,126.97167062544946,37.5333553050158,262.41596557,20.67624781,81.88139686,1920.37774295,200.89287961,326,미지정,0
389175,1117000000000003520,한강로1가 296-1 도,도,국유지,4387.118372526253,126.97204129973096,37.53352727323434,235.87394532,24.15106271,74.58250043,1883.14562817,226.40292564,326,미지정,0
389176,1117000000000003521,한강로2가 24-3 도,도,국유지,27.070445090532303,126.97232181802262,37.53207621157214,393.1091723,138.85184087,232.88964185,1975.44414321,289.50010889,315,미지정,0
389177,1117000000000003522,한강로2가 420-4 도,도,국유지,27.656189357861876,126.96507533333332,37.526600333333334,152.52982336,240.87881825,290.5906743,2034.97053142,476.4628239,315,미지정,0
389178,1117000000000003523,한강로2가 420-3 도,도,국유지,466.4652639357373,126.96558636137635,37.52708981349991,211.27263803,211.00945195,288.32300827,2104.71637179,426.06224577,315,미지정,0
389179,1117000000000003524,한강로2가 424-3 도,도,국유지,563.7283886249643,126.96922210670544,37.529585082255124,604.83831847,47.57300644,100.51685718,2364.68573213,365.5317997,315,미지정,0
389180,1117000000000003525,한강로2가 313-4도,도,국유지,263.2024472884368,126.96855935264668,37.53009721140287,647.56821113,9.3993618,119.67619618,2366.9929073,310.1819861,315,미지정,1
389181,1117000000000003526,한강로2가 100-2도,도,국유지,44.875921121332794,126.97101299606511,37.53150155547055,476.17398296,222.98414904,291.54744415,2102.52802634,231.92858266,315,미지정,0
389182,1117000000000003527,한강로2가 422-3 도,도,국유지,619.7059801444411,126.96731833101681,37.528901317597516,452.60290373,32.27361871,72.01421078,2355.93618162,306.25935704,315,미지정,1
389183,1117000000000003528,한강로2가 2-394 도,도,국유지,85.4653479740955,126.96785232598718,37.53059452911694,624.79778087,81.18390524,123.06580725,2541.57274106,271.52347524,315,미지정,0
389184,1117000000000003529,한강로2가 422-1 도,도,국유지,3340.684564490395,126.96761587026357,37.529900450623025,564.4631763,33.59106327,43.79912847,2464.5354482,258.88596577,315,미지정,1
389185,1117000000000003530,한강로2가 310-8 도,도,국유지,978.7905218906817,126.96912979155049,37.5309652713282,597.96211308,111.34274581,244.65201854,2264.53060344,212.13756707,315,미지정,0
389186,1117000000000003531,한강로2가 156-8도,도,국유지,44.27344986656681,126.9699816857597,37.52991292418199,660.40724592,42.98326225,169.81124134,2291.67668069,340.37556862,315,미지정,0
389187,1117000000000003532,한강로2가 72도,도,국유지,175.72429068014026,126.97166669982786,37.53033557800418,590.96431849,193.99336151,325.14864527,2155.46160546,368.20969074,315,미지정,0
389188,1117000000000003533,한강로2가 153-6도,도,국유지,46.64277532149572,126.97008104231078,37.52972219935501,643.86176527,59.62912659,161.60496727,2300.81985769,363.11714251,315,미지정,0
389189,1117000000000003534,한강로2가 181-2도,도,국유지,711.9624472854193,126.96829778110236,37.529826541207626,614.40287481,29.27361915,85.62874005,2488.78004518,343.2857284,315,미지정,0
389190,1117000000000003535,한강로2가 55-1 도,도,국유지,501.22241427376866,126.97201509594268,37.53113882426817,498.87750317,241.61107067,329.74252596,2069.09900311,322.88628113,315,미지정,1
389191,1117000000000003536,한강로2가 242-4도,도,국유지,1232.2751683226088,126.96950099683679,37.53082537000416,595.86671146,90.60982145,237.30047814,2250.99590091,231.96142661,315,미지정,0
389192,1117000000000003537,한강로2가 310-7 도,도,국유지,245.76836651627673,126.96895854778963,37.53051144710774,649.18987059,73.17116859,192.59784707,2309.80886328,262.05309205,315,미지정,0
389193,1117000000000003538,한강로2가 312-3도,도,국유지,500.27852196991444,126.96876024069863,37.53030772094544,673.66659943,38.28553429,168.522941,2338.05548799,285.2786822,315,미지정,0
389194,1117000000000003539,한강로2가 154-1도,도,국유지,12.086151029448956,126.97030371590908,37.53014480303031,638.61534879,71.70525973,208.06319854,2253.38282654,324.80586195,315,미지정,0
389195,1117000000000003540,한강로2가 424-2 도,도,국유지,548.7826165303122,126.96834520389883,37.52932293127992,559.71080902,68.36719919,65.88788168,2443.75611618,397.84293188,315,미지정,1
389196,1117000000000003541,한강로2가 242-2도,도,국유지,119.63388438522816,126.96938242736096,37.530950342271424,588.44447468,105.08867375,247.68693585,2249.20416173,216.39366351,315,미지정,0
389197,1117000000000003542,한강로2가 282도,도,국유지,44.59666358679533,126.96906724318085,37.530860406291254,610.799872,102.29812701,232.2910162,2276.46266428,223.47711164,315,미지정,0
389198,1117000000000003543,한강로2가 239-2도,도,국유지,581.0720859233406,126.96918694489185,37.530746506361986,616.58015486,86.70818873,221.71099731,2277.25574369,236.72181513,315,미지정,0
389199,1117000000000003544,한강로2가 281도,도,국유지,43.42933906055987,126.96894492831863,37.53072918899178,628.8305874,86.101912,189.69004763,2294.27381743,237.89600574,315,미지정,1
389200,1117000000000003545,한강로2가 310-1 도,도,국유지,957.726915842155,126.97058320780468,37.53238728894225,398.0532276,163.47708999,208.41411616,2063.48536931,137.2974413,315,미지정,0
389201,1117000000000003546,한강로2가 310-6 도,도,국유지,147.4445959427394,126.96981080984696,37.53140529545354,526.09754078,157.22577877,307.03050503,2187.14978385,178.91015807,315,미지정,0
389202,1117000000000003547,한강로2가 2-398 도,도,국유지,35.72718627075665,126.96693922620352,37.533348938907196,319.67959059,200.76533227,310.16933331,2253.06946658,187.32843397,315,미지정,1
389203,1117000000000003548,한강로2가 2-12도,도,국유지,680.2926957309246,126.96906826349567,37.53116021715831,582.25468738,133.61791183,232.22306933,2254.05799476,190.23328317,315,미지정,1
