ÿ"³ëµå ID","Á¤·ù¼Ò¹øÈ£","Á¤·ù¼Ò¸í","XÁÂÇ¥","YÁÂÇ¥","Á¤·ù¼Ò Å¸ÀÔ"
"03274","102000180","µ¿ºù°íµ¿","126.996690677","37.5208183604","ÀÏ¹ÝÂ÷·Î"
"03275","102000181","µ¿ºù°íµ¿","126.9970390394","37.5212625565","ÀÏ¹ÝÂ÷·Î"
"03276","102000182","º¸±¤½Åµ¿¾Æ¾ÆÆÄÆ®.»ï¼º¸®¹öºô¾ÆÆÄÆ®","127.0020297105","37.5247380028","ÀÏ¹ÝÂ÷·Î"
"03277","102000183","º¸±¤µ¿½Åµ¿¾Æ¾ÆÆÄÆ®","127.0015149467","37.5256237907","ÀÏ¹ÝÂ÷·Î"
"03278","102000184","º¸±¤µ¿ÁÖ¹Î¼¾ÅÍ","127.0005046107","37.5264591178","ÀÏ¹ÝÂ÷·Î"
"03279","102000185","º¸±¤µ¿","126.999026","37.528342","ÀÏ¹ÝÂ÷·Î"
"03280","102000186","º¸±¤µ¿","126.998896846","37.528182014","ÀÏ¹ÝÂ÷·Î"
"03281","102000187","ÇÑ±¹Æú¸®ÅØ1´ëÇÐ","126.9967926172","37.5301959868","ÀÏ¹ÝÂ÷·Î"
"03282","102000188","ÇÑ±¹Æú¸®ÅØ1´ëÇÐ","126.9965748167","37.5305293513","ÀÏ¹ÝÂ÷·Î"
"03283","102000189","ÀÌÅÂ¿ø¿ª.º¸±¤µ¿ÀÔ±¸","126.994213","37.5334","ÀÏ¹ÝÂ÷·Î"
"03284","102000190","ÀÌÅÂ¿ø¿ª.º¸±¤µ¿ÀÔ±¸","126.9942269972","37.5338224192","ÀÏ¹ÝÂ÷·Î"
"03285","102000191","ÇÑ³²¿ª.¿ë»ê³ëÀÎÁ¾ÇÕº¹Áö°ü","127.006795706","37.5312239311","ÀÏ¹ÝÂ÷·Î"
"03286","102000192","ÇÑ³²¿ª.¿ë»ê³ëÀÎÁ¾ÇÕº¹Áö°ü","127.007769858","37.5306687947","ÀÏ¹ÝÂ÷·Î"
"03287","102000193","ÀÌÃÌ119¾ÈÀü¼¾ÅÍ.¼ºÃÌ°ø¿ø","126.9529474778","37.5300799765","ÀÏ¹ÝÂ÷·Î"
"03288","102000194","ÀÌÃÌ·ÎÀÔ±¸.¼ºÃÌ°ø¿ø¾Õ","126.9546065451","37.5301710306","ÀÏ¹ÝÂ÷·Î"
"03289","102000195","ÀÌÃÌ·ÎÀÔ±¸.¼ºÃÌ°ø¿ø¾Õ","126.954351091","37.529747416","ÀÏ¹ÝÂ÷·Î"
"03290","102000196","ÀÌÃÌ2µ¿ÁÖ¹Î¼¾ÅÍ","126.9550639882","37.5277364382","ÀÏ¹ÝÂ÷·Î"
"03291","102000197","ÀÌÃÌ2µ¿ÁÖ¹Î¼¾ÅÍ","126.9548605606","37.5277028919","ÀÏ¹ÝÂ÷·Î"
"03292","102000198","ÀÌÃÌ2µ¿´ë¸²¾ÆÆÄÆ®.»õ³²ÅÍ¼ºÁö","126.9563230524","37.5261753068","ÀÏ¹ÝÂ÷·Î"
